,Title,Datetime,Source,URL,Search
39,"Doctors Enter College Football’s Politics Amid Covid Pandemic, but Maybe Just for Show - The New York Times",2020-08-23T22:12:26Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=135293481,+doctors AND +covid AND +new
40,Covid-19 Live Updates: Misinformation Becomes a New Front for Doctors to Battle,2020-08-17T16:16:51Z,New York Times,https://www.nytimes.com/2020/08/17/world/coronavirus-covid.html,+doctors AND +covid AND +new
41,Patients in need of urgent treatment avoiding hospital visits due to COVID fears: Doctors - The New Indian Express,2020-08-16T21:52:00Z,The New Indian Express,https://www.newindianexpress.com/cities/delhi/2020/aug/17/patients-in-need-of-urgent-treatment-avoiding-hospital-visits-due-to-covid-fears-doctors-2184394.html,+doctors AND +covid AND +new
42,New Study On COVID-19 Symptoms Promises Big Help To Doctors - OdishaBytes,2020-08-16T07:15:00Z,Odishabytes.com,https://odishabytes.com/new-study-on-covid-19-symptoms-promises-big-help-to-doctors/,+doctors AND +covid AND +new
43,S. Korean doctors strike over health plans as new Covid-19 cases climb,2020-08-14T05:18:47Z,Free Malaysia Today,https://www.freemalaysiatoday.com/category/world/2020/08/14/s-korean-doctors-strike-over-health-plans-as-new-covid-19-cases-climb/,+doctors AND +covid AND +new
44,South Korean doctors strike over health plans as new COVID-19 cases climb,2020-08-14T04:27:51Z,CNA,https://www.channelnewsasia.com/news/asia/covid-19-south-korea-doctors-strike-more-medical-students-13020470,+doctors AND +covid AND +new
45,From one hotspot to another: Twin ER doctors on front lines of Covid-19 pandemic in New York and Miami,2020-08-13T11:16:00Z,IOL,https://www.iol.co.za/news/world/from-one-hotspot-to-another-twin-er-doctors-on-front-lines-of-covid-19-pandemic-in-new-york-and-miami-fd3e2389-a3bc-4fcf-8452-b1bb382dc2fb,+doctors AND +covid AND +new
46,"From one hotspot to another: Twin ER doctors on COVID-19 front lines in New York, Miami - Reuters",2020-08-12T14:04:00Z,Reuters,https://www.reuters.com/article/us-health-coronavirus-usa-twindoctors-idUSKCN2581TQ,+doctors AND +covid AND +new
47,"From one hotspot to another: Twin ER doctors on COVID-19 front lines in New York, Miami",2020-08-12T14:00:00Z,Reuters,https://uk.reuters.com/article/us-health-coronavirus-usa-twindoctors-idUKKCN2581TQ,+doctors AND +covid AND +new
48,Two Washington U. doctors lead national effort to study new COVID-19 treatment,2020-08-12T00:45:00Z,STLtoday.com,https://www.stltoday.com/lifestyles/health-med-fit/coronavirus/two-washington-u-doctors-lead-national-effort-to-study-new-covid-19-treatment/article_ccec0f56-4493-5a26-8601-45e35d364b2d.html,+doctors AND +covid AND +new
49,New HoloLens 2 App Helps UK Doctors Train To Identify COVID-19,2020-08-05T11:59:45Z,UploadVR,https://uploadvr.com/?p=100560,+doctors AND +covid AND +new
50,"'Losing battle': Philippine doctors, nurses urge new COVID-19 lockdowns as infections surge",2020-08-01T09:58:31Z,Reuters,https://uk.reuters.com/article/us-health-coronarvirus-philippines-idUKKCN24X3IA,+doctors AND +covid AND +new
51,"'Losing battle': Philippine doctors, nurses urge new COVID-19 lockdowns",2020-08-01T07:14:09Z,bdnews24.com,https://bdnews24.com/world/2020/08/01/losing-battle-philippine-doctors-nurses-urge-new-covid-19-lockdowns,+doctors AND +covid AND +new
56,"'Losing battle': Philippine doctors, nurses urge new COVID-19 lockdowns - Reuters",2020-08-01T05:40:00Z,Reuters,https://www.reuters.com/article/us-health-coronarvirus-philippines-idUSKCN24X3IA,+doctors AND +covid AND +new
58,COVID-19 patients in Texas benefit from New York doctors' lessons,2020-07-17T03:25:30Z,KHOU.com,https://www.khou.com/article/news/health/coronavirus/covid-19-patients-benefit-texas-doctors-new-york-doctors/285-8216aa1a-b675-4769-ac21-a1f13f05e74f,+doctors AND +covid AND +new
59,"New York nurses, doctors come to Houston to help with COVID-19",2020-07-16T19:20:15Z,KHOU.com,https://www.khou.com/article/news/health/coronavirus/new-york-helps-houston-set-up-two-additional-covid-19-testing-site/285-7418f1cc-969d-424d-92fa-d51ba9a4642e,+doctors AND +covid AND +new
60,Doctors note new COVID-19 symptoms in young adults,2020-07-11T18:20:15Z,8News,https://www.wric.com/news/doctors-note-new-covid-19-symptoms-in-young-adults/,+doctors AND +covid AND +new
61,Doctors note new COVID-19 symptoms in young adults - KFOR Oklahoma City,2020-07-11T16:12:56Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133256926,+doctors AND +covid AND +new
62,Doctors note new COVID-19 symptoms in young adults - KSN-TV,2020-07-11T15:52:31Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133256596,+doctors AND +covid AND +new
63,These California doctors flew to New York to fight Covid-19. Here's what they learned.,2020-07-11T07:00:31Z,CNN,https://www.cnn.com/2020/07/11/us/california-doctors-new-york-coronavirus/index.html,+doctors AND +covid AND +new
64,Doctors note new COVID-19 symptoms in young adults - WJHL-TV News Channel 11,2020-07-11T01:12:17Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133240418,+doctors AND +covid AND +new
65,Doctors note new COVID-19 symptoms in young adults - WFLA,2020-07-10T18:53:17Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133234552,+doctors AND +covid AND +new
66,Doctors note new COVID-19 symptoms in young adults - WATE 6 On Your Side,2020-07-10T15:12:40Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133230102,+doctors AND +covid AND +new
67,Doctors and Nurses Get Emotional Over New COVID-19 Surge | NowThis - NowThis News,2020-07-10T14:52:35Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133229744,+doctors AND +covid AND +new
68,"Children rarely transmit COVID-19, doctors write in new commentary",2020-07-10T14:09:34Z,Science Daily,https://www.sciencedaily.com/releases/2020/07/200710100934.htm,+doctors AND +covid AND +new
69,Doctors note new COVID-19 symptoms in young adults - KELOLAND.com,2020-07-10T13:59:00Z,KELOLAND.com,https://www.keloland.com/news/national-world-news/doctors-note-new-covid-19-symptoms-in-young-adults/,+doctors AND +covid AND +new
70,Doctors note new COVID-19 symptoms in young adults - WOODTV.com,2020-07-10T13:52:04Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133228410,+doctors AND +covid AND +new
73,Doctors note new COVID-19 symptoms in young adults - WGN TV Chicago,2020-07-10T13:12:43Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133227528,+doctors AND +covid AND +new
77,Doctors note new COVID-19 symptoms in young adults - WAVY.com,2020-07-10T12:13:00Z,WAVY.com,https://www.wavy.com/news/health/coronavirus/doctors-note-new-covid-19-symptoms-in-young-adults/,+doctors AND +covid AND +new
78,Doctors note new COVID-19 symptoms in young adults - WJW FOX 8 News Cleveland,2020-07-10T11:52:12Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=133225332,+doctors AND +covid AND +new
84,Doctors note new COVID-19 symptoms in young adults - KTVI Fox 2 St. Louis,2020-07-10T03:38:00Z,KTVI Fox 2 St. Louis,https://fox2now.com/news/doctors-note-new-covid-19-symptoms-in-young-adults/,+doctors AND +covid AND +new
86,Country Faces New COVID-19 Wave As Infections Rise to 605 - Doctors,2020-07-02T10:09:47Z,AllAfrica - Top Africa News,https://allafrica.com/stories/202007020352.html,+doctors AND +covid AND +new
87,"As world nears 10 million COVID-19 cases, doctors see hope in new treatments and lessons learned",2020-06-28T03:35:40Z,The Japan Times,https://www.japantimes.co.jp/news/2020/06/28/world/science-health-world/coronavirus-doctors-hope/,+doctors AND +covid AND +new
88,"With the new Practice Reset Online Workshop for Physicians, TheHappyMD.com Helps Doctors Build a New Normal in the Wake of the COVID-19 Pandemic",2020-06-26T12:39:00Z,PRNewswire,https://prnmedia.prnewswire.com:443/news-releases/with-the-new-practice-reset-online-workshop-for-physicians-thehappymdcom-helps-doctors-build-a-new-normal-in-the-wake-of-the-covid-19-pandemic-301084249.html,+doctors AND +covid AND +new
90,COVID-19 Updates: 48 new cases Saturday | Calgary doctors call for mandatory masks in public - Calgary Herald,2020-06-20T16:58:48Z,Calgary Herald,https://calgaryherald.com/news/local-news/covid-19-updates-calgary-doctors-call-for-mandatory-masks-in-public-masks-mandatory-now-at-calgary-edmonton-airports,+doctors AND +covid AND +new
91,Why the Doctors of New Netflix Must-Watch ‘Lenox Hill’ Don’t Think Protests Will Spark a Second COVID Wave,2020-06-11T08:39:05Z,Daily Beast,https://www.thedailybeast.com/why-the-doctors-of-new-netflix-must-watch-lenox-hill-dont-think-protests-will-spark-a-second-covid-wave,+doctors AND +covid AND +new
92,5 doctors among 110 new Covid-19 cases in Odisha,2020-06-11T03:11:12Z,India Today,https://www.indiatoday.in/india/story/5-doctors-among-110-new-covid-19-cases-in-odisha-1687764-2020-06-11,+doctors AND +covid AND +new
93,Five JIPMER doctors among 12 new Covid-19 cases in Puducherry,2020-06-07T17:38:02Z,India Today,https://www.indiatoday.in/india/story/five-jipmer-doctors-among-12-new-covid-19-cases-in-puducherry-1686559-2020-06-07,+doctors AND +covid AND +new
94,Doctors on the Front Lines Are Testing New Therapies to Treat COVID-19,2020-06-03T12:45:00Z,PRNewswire,https://www.prnewswire.com:443/news-releases/doctors-on-the-front-lines-are-testing-new-therapies-to-treat-covid-19-301070015.html,+doctors AND +covid AND +new
96,New Data Confirms Doctors' Fear: Majority Of Americans Avoiding Treatment For Heart Attack And Stroke Due To COVID-19,2020-05-29T12:00:00Z,PRNewswire,https://www.prnewswire.com:443/news-releases/new-data-confirms-doctors-fear-majority-of-americans-avoiding-treatment-for-heart-attack-and-stroke-due-to-covid-19-301067455.html,+doctors AND +covid AND +new
98,"28 new COVID-19 cases, no new recoveries among doctors, nurses, other health workers in PH",2020-05-29T11:35:21Z,Abs-cbn.com,https://news.abs-cbn.com/news/05/29/20/28-new-covid-19-cases-no-new-recoveries-among-doctors-nurses-other-health-workers-in-ph,+doctors AND +covid AND +new
99,"A third of Russian medical workers say they have instructions to underreport COVID-19 deaths, according to a new survey on a doctors’ mobile app",2020-05-22T11:21:19Z,Meduza,https://meduza.io/en/news/2020/05/22/a-third-of-russian-medical-workers-say-they-have-instructions-to-underreport-covid-19-deaths-according-to-a-new-survey-on-a-doctors-mobile-app,+doctors AND +covid AND +new
100,AI tool gives doctors a new look at the lungs in treating COVID-19,2020-05-21T20:04:35Z,Princeton University,https://www.princeton.edu/news/2020/05/21/ai-tool-gives-doctors-new-look-lungs-treating-covid-19,+doctors AND +covid AND +new
104,"DOH says new cases of COVID-19 among doctors, nurses continue to go down",2020-05-19T11:18:00Z,Abs-cbn.com,https://news.abs-cbn.com/news/05/19/20/doh-says-new-cases-of-covid-19-among-doctors-nurses-continue-to-go-down,+doctors AND +covid AND +new
105,"1 new death recorded as doctors, nurses, other health workers with COVID-19 reach 2,067",2020-05-12T09:29:03Z,Abs-cbn.com,https://news.abs-cbn.com/news/05/12/20/1-new-death-recorded-as-doctors-nurses-other-health-workers-with-covid-19-reach-2067,+doctors AND +covid AND +new
106,India-origin doctors die of Covid-19 in New Jersey,2020-05-09T00:25:30Z,Telegraph India,https://www.telegraphindia.com/world/coronavirus-outbreak-india-origin-doctors-die-of-covid-19-in-new-jersey/cid/1771454,+doctors AND +covid AND +new
107,Doctors are shaking their heads at new COVID-19 symptom some patients are experiencing,2020-05-08T17:53:00Z,WDAF FOX4 Kansas City,https://fox4kc.com/news/doctors-are-shaking-their-heads-at-new-covid-19-symptom-some-patients-are-experiencing/,+doctors AND +covid AND +new
108,Doctors Are Cloning COVID Patients’ Antibodies For New Treatment,2020-05-08T13:15:52Z,Futurism,https://futurism.com/neoscope/doctors-cloned-covid-patients-antibodies-treatments,+doctors AND +covid AND +new
109,"No new deaths among doctors, nurses as COVID-19 cases among health workers dwindle",2020-05-08T11:00:32Z,Abs-cbn.com,https://news.abs-cbn.com/news/05/08/20/no-new-deaths-among-doctors-nurses-as-covid-19-cases-among-health-workers-dwindle,+doctors AND +covid AND +new
110,"Coronavirus: New York lawmaker proposes bill to forgive student loans of doctors, nurses working on the front lines of the COVID-19 pandemic",2020-05-06T11:45:50Z,WLS-TV,https://abc7chicago.com/coronavirus-student-loan-forgiveness-cases-update/6155996/,+doctors AND +covid AND +new
111,"New York lawmaker proposes forgiving student loans of doctors, nurses fighting COVID-19",2020-05-06T11:41:00Z,WABC-TV,https://abc7ny.com/coronavirus-student-loan-forgiveness-cases-update/6155996/,+doctors AND +covid AND +new
112,New York City calls on doctors to watch for children with syndrome possibly associated with COVID-19,2020-05-05T15:25:04Z,The Hill,https://thehill.com/homenews/state-watch/496136-new-york-city-calls-on-doctors-to-watch-for-children-with-syndrome,+doctors AND +covid AND +new
113,Doctors Report ‘Covid Toes’ As Possible New Coronavirus Symptom,2020-05-04T13:07:00Z,Theonion.com,https://www.theonion.com/doctors-report-covid-toes-as-possible-new-coronavirus-1843238223,+doctors AND +covid AND +new
114,UK leader Johnson names new baby in honor of doctors who treated his COVID-19,2020-05-02T19:45:48Z,WUSA9.com,https://www.wusa9.com/article/news/health/coronavirus/uk-leader-names-baby-in-honor-of-doctors/507-4b83a776-1b75-454e-b764-da3cbc9455d6,+doctors AND +covid AND +new
115,Boris Johnson pays tribute to doctors who treated him for COVID-19 with new son's name,2020-05-02T17:01:52Z,TODAY,https://www.today.com/parents/boris-johnson-pays-tribute-doctors-new-son-s-name-t180619,+doctors AND +covid AND +new
116,Doctors call ‘COVID toes’ a new coronavirus symptom - WKRG News 5,2020-05-02T16:52:27Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=130267224,+doctors AND +covid AND +new
117,U.K.s Johnson names new son with tribute to doctors who treated him for COVID-19,2020-05-02T14:38:23Z,NBC News,https://www.nbcnews.com/news/world/u-k-s-johnson-names-new-son-wilfred-lawrie-nicholas-n1198606,+doctors AND +covid AND +new
121,"Parallel lives: Twin-brother ER doctors fight COVID-19 in New York, Miami",2020-04-29T23:12:41Z,CNA,https://www.channelnewsasia.com/news/world/covid19-coronavirus-twin-brothers-doctors-new-york-miami-12689228,+doctors AND +covid AND +new
123,"In France, A New App Is Helping Doctors Monitor COVID-19 Patients Remotely",2020-04-29T18:21:00Z,NPR,https://www.npr.org/2020/04/29/847171229/in-paris-a-new-app-is-helping-doctors-monitor-covid-19-patients-remotely,+doctors AND +covid AND +new
127,Covid 19 coronavirus: UK doctors on alert as new syndrome emerges in children,2020-04-27T20:31:40Z,New Zealand Herald,https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12327872,+doctors AND +covid AND +new
128,"Coronavirus: NHS patients at risk of infection from 'hazardous' practices by doctors and nurses, expert says",2020-07-03T11:50:44Z,Independent,https://www.independent.co.uk/news/health/coronavirus-infection-nhs-hospitals-critical-care-ppe-a9599621.html,+doctors AND +coronavirus AND +practices
129,Doctors apply for SBA coronavirus funding in struggle to keep practices afloat during the pandemic,2020-04-27T13:10:16Z,CNBC,https://www.cnbc.com/2020/04/27/coronavirus-struggling-doctors-apply-for-sba-loans-to-keep-practices-afloat.html,+doctors AND +coronavirus AND +practices
130,Coronavirus-linked face mask shortage prompts doctors to seek best practices on reuse,2020-03-25T13:02:34Z,Live Science,https://www.livescience.com/sanitizing-medical-masks-for-reuse-coronavirus.html,+doctors AND +coronavirus AND +practices
134,'Happy hypoxia': unusual coronavirus effect baffles doctors - The Guardian,2020-05-05T10:52:04Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=130447646,+doctors AND +coronavirus AND +unusual
135,UK doctors warn of unusual coronavirus symptoms in some children,2020-04-28T19:19:08Z,BGR,https://bgr.com/2020/04/28/coronavirus-symptoms-in-children-unusual-covid-19-signs-reported/,+doctors AND +coronavirus AND +unusual
136,"FOR INSTANCE, THERE’S THIS: Doctors just uncovered another unusual coronavirus symptom….",2020-04-10T08:56:46Z,PJ Media,https://pjmedia.com/instapundit/364671/,+doctors AND +coronavirus AND +unusual
137,Doctors just uncovered another unusual coronavirus symptom,2020-04-08T18:30:58Z,BGR,https://bgr.com/2020/04/08/coronavirus-symptoms-french-doctors-warn-of-dermatological-signs/,+doctors AND +coronavirus AND +unusual
138,CDC removes unusual guidance to doctors about drug favored by Trump to treat coronavirus,2020-04-08T16:14:25Z,CNBC,https://www.cnbc.com/2020/04/08/coronavirus-cdc-removes-unusual-guidance-to-doctors-about-drug-favored-by-trump.html,+doctors AND +coronavirus AND +unusual
139,Doctors have discovered unusual new coronavirus symptoms,2020-04-02T15:43:32Z,BGR,https://bgr.com/2020/04/02/coronavirus-symptoms-neurological-signs-point-to-covid-19-infection/,+doctors AND +coronavirus AND +unusual
140,Pharmacists are seeing unusual and fraudulent prescribing activity as doctors hoard unproven coronavirus drugs endorsed by Trump,2020-03-24T14:11:51Z,AlterNet,https://www.alternet.org/2020/03/pharmacists-are-seeing-unusual-and-fraudulent-prescribing-activity-as-doctors-hoard-unproven-coronavirus-drugs-endorsed-by-trump/,+doctors AND +coronavirus AND +unusual
141,View Before It's Taken Down!! Nationwide Lockdowns Are not the Solution--Coronavirus Doctors,2020-08-07T20:03:31Z,Liveleak.com,https://www.liveleak.com/view?t=uevxZ_1596830611,+doctors AND +coronavirus AND +solution
142,Coronavirus outbreak delayed his liver transplant. Then doctors found a solution.,2020-04-07T17:45:45Z,NBC News,https://www.nbcnews.com/health/health-news/live-blog/2020-04-07-coronavirus-news-n1178111/ncrd1178561,+doctors AND +coronavirus AND +solution
145,ExamMed Free Telemedicine As A Timely Solution For Doctors Amid Coronavirus Concerns,2020-03-03T23:48:00Z,PRNewswire,https://www.prnewswire.com/news-releases/exammed-free-telemedicine-as-a-timely-solution-for-doctors-amid-coronavirus-concerns-301015916.html,+doctors AND +coronavirus AND +solution
147,"With childrens' vaccinations down amid coronavirus, doctors get creative",2020-07-03T17:32:43Z,Fox News,https://www.foxnews.com/health/coronavirus-children-vaccinations-down,+doctors AND +coronavirus AND +creative
148,Doctors get creative as coronavirus fears stall kids’ health visits,2020-05-24T23:28:42Z,NBC News,https://www.nbcnews.com/nightly-news/video/doctors-get-creative-as-coronavirus-fears-stall-kids-health-visits-83867205522,+doctors AND +coronavirus AND +creative
149,The Creative Way Doctors Are Comforting Coronavirus Patients - Inside Edition,2020-04-15T09:12:04Z,Slashdot.org,https://slashdot.org/firehose.pl?op=view&amp;id=129169092,+doctors AND +coronavirus AND +creative
150,"Coronavirus Outbreak: Karnataka leads fight against novel coronavirus with innovative Quarantine App, online training module for doctors",2020-04-03T05:18:33Z,Firstpost,https://www.firstpost.com/health/coronavirus-outbreak-karnataka-leads-fight-against-covid-19-with-innovative-quarantine-app-online-training-module-for-doctors-8223721.html,+doctors AND +coronavirus AND +novel
151,Doctors and nurses in Spain are taping garbage bags to their bodies for protection against the novel coronavirus as supplies dwindle,2020-03-21T18:47:00Z,Yahoo Entertainment,https://news.yahoo.com/doctors-nurses-spain-taping-garbage-184700233.html,+doctors AND +coronavirus AND +novel
153,"Chloroquine, an old malaria drug, may help treat novel coronavirus, doctors say",2020-03-19T02:22:10Z,ABC News,https://abcnews.go.com/Health/chloroquine-malaria-drug-treat-coronavirus-doctors/story?id=69664561,+doctors AND +coronavirus AND +novel
154,How young doctors are fighting online misinformation on novel coronavirus,2020-03-13T08:45:48Z,Rappler,https://www.rappler.com/move-ph/254410-young-doctors-fight-online-misinformation-novel-coronavirus,+doctors AND +coronavirus AND +novel
155,Is Mumbai ready to tackle deadly novel coronavirus? Doctors raise concern,2020-03-02T15:31:25Z,India Today,https://www.indiatoday.in/india/story/is-mumbai-ready-to-tackle-deadly-novel-coronavirus-doctors-raise-concern-1651723-2020-03-02,+doctors AND +coronavirus AND +novel
